mode,image,message,predicted,bit_accuracy,psnr,mask_ratio,num_detected_messages
multi,000000326128.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000010001100111001|11000100101010100111001001001010,0.968750,16.0927,0.1,2
multi,000000341681.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,14.5859,0.1,2
multi,000000358427.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,15.6452,0.1,2
multi,000000360137.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,16.3284,0.1,2
multi,000000397681.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111011,0.968750,15.6480,0.1,2
multi,000000400573.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000010001100111001|11000100101010100111001001001010,0.968750,15.0198,0.1,2
multi,000000401250.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111011|11000100101110100111001001011010|11100100101110100111001100111011,0.968750,14.6517,0.1,3
multi,000000426372.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,15.9506,0.1,2
multi,000000437351.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101110100111001001011010,1.000000,16.0996,0.1,2
multi,000000477805.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,17.0734,0.1,2
multi,000000508730.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001011|10110101100111000110001100111001|11100100101110100111001100111011,1.000000,15.2494,0.1,3
multi,000000517056.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,16.1172,0.1,2
multi,000000517687.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.8847,0.1,2
multi,000000523957.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.9428,0.1,2
multi,000000533145.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,16.0945,0.1,2
multi,000000562243.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000010001100111001,1.000000,15.9585,0.1,2
multi,000000563470.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.8021,0.1,2
multi,000000573258.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,16.2320,0.1,2
multi,000000575243.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,16.0529,0.1,2
