scheme_,attack_,area_percent_mean,area_percent_min,block_count_mean,block_count_min,scaling_w_mean,scaling_w_min,bit_accuracy_mean,bit_accuracy_min,message_success_mean,message_success_min,psnr_watermarked_mean,psnr_watermarked_min,psnr_attacked_mean,psnr_attacked_min,mask_pixels_mean,mask_pixels_min,used_fallback_mean,used_fallback_min
distributed_q10_9block,resize_0.25_jpeg_q50,10.0,10,9.0,9,2.5,2.5,0.4925,0.0,0.0,0,17.285282,16.5203,19.756182,17.3857,2200.7,0,0.24,0
distributed_q20_5block,black_center_40,20.0,20,5.0,5,2.5,2.5,0.9925,0.9375,0.84,0,14.152254000000001,13.557,8.864840000000001,6.3775,11082.28,10274,0.0,0
distributed_q20_5block,crop_bottom_right_50,20.0,20,5.0,5,2.5,2.5,0.555625,0.0,0.0,0,14.152254000000001,13.557,9.265276,4.9625,6056.7,0,0.06,0
distributed_q20_5block,crop_center_50,20.0,20,5.0,5,2.5,2.5,0.564375,0.0,0.0,0,14.152254000000001,13.557,9.84575,6.7566,7891.16,0,0.04,0
distributed_q20_5block,crop_top_left_50,20.0,20,5.0,5,2.5,2.5,0.520625,0.0,0.0,0,14.152254000000001,13.557,9.230924,5.8933,5169.98,0,0.12,0
distributed_q20_5block,jpeg_q20,20.0,20,5.0,5,2.5,2.5,0.940625,0.875,0.06,0,14.152254000000001,13.557,16.79708,16.0793,18673.38,15689,0.0,0
distributed_q20_5block,jpeg_q30,20.0,20,5.0,5,2.5,2.5,0.9775,0.90625,0.46,0,14.152254000000001,13.557,16.627748,15.996,17801.82,15342,0.0,0
distributed_q20_5block,none,20.0,20,5.0,5,2.5,2.5,0.936875,0.875,0.08,0,14.152254000000001,13.557,14.152254000000001,13.557,13940.8,13663,0.0,0
distributed_q20_5block,remove_center_40,20.0,20,5.0,5,2.5,2.5,0.9875,0.90625,0.76,0,14.152254000000001,13.557,15.210744,14.5551,10462.86,10254,0.0,0
distributed_q20_5block,resize_0.25_jpeg_q50,20.0,20,5.0,5,2.5,2.5,0.86875,0.75,0.0,0,14.152254000000001,13.557,17.805918,16.1884,17036.26,15101,0.0,0
distributed_q20_9block,black_center_40,20.0,20,9.0,9,2.5,2.5,0.980625,0.90625,0.62,0,14.188320000000001,13.5079,8.739224,6.3241,28429.76,12103,0.0,0
distributed_q20_9block,crop_bottom_right_50,20.0,20,9.0,9,2.5,2.5,0.4925,0.0,0.0,0,14.188320000000001,13.5079,9.264006,5.0124,3785.38,0,0.16,0
distributed_q20_9block,crop_center_50,20.0,20,9.0,9,2.5,2.5,0.50875,0.0,0.0,0,14.188320000000001,13.5079,10.305712000000002,6.9104,3479.16,0,0.14,0
distributed_q20_9block,crop_top_left_50,20.0,20,9.0,9,2.5,2.5,0.4975,0.0,0.0,0,14.188320000000001,13.5079,9.250155999999999,5.9432,5395.46,0,0.16,0
distributed_q20_9block,jpeg_q20,20.0,20,9.0,9,2.5,2.5,0.895625,0.78125,0.04,0,14.188320000000001,13.5079,16.843276,16.1334,23339.28,17321,0.0,0
distributed_q20_9block,jpeg_q30,20.0,20,9.0,9,2.5,2.5,0.960625,0.875,0.24,0,14.188320000000001,13.5079,16.682232000000003,16.0773,21978.1,17590,0.0,0
distributed_q20_9block,none,20.0,20,9.0,9,2.5,2.5,0.9025,0.84375,0.0,0,14.188320000000001,13.5079,14.188320000000001,13.5079,13750.12,13017,0.0,0
distributed_q20_9block,remove_center_40,20.0,20,9.0,9,2.5,2.5,0.96875,0.90625,0.4,0,14.188320000000001,13.5079,14.721696,14.0118,12263.84,11567,0.0,0
distributed_q20_9block,resize_0.25_jpeg_q50,20.0,20,9.0,9,2.5,2.5,0.840625,0.6875,0.0,0,14.188320000000001,13.5079,17.819478,16.2233,19273.98,3388,0.0,0
distributed_q25_5block,black_center_40,25.0,25,5.0,5,2.5,2.5,0.99875,0.96875,0.96,0,13.18384,12.6113,8.638236000000001,6.2501,27432.4,13129,0.0,0
distributed_q25_5block,crop_bottom_right_50,25.0,25,5.0,5,2.5,2.5,0.3975,0.0,0.0,0,13.18384,12.6113,9.047834,4.9165,2303.36,0,0.32,0
distributed_q25_5block,crop_center_50,25.0,25,5.0,5,2.5,2.5,0.556875,0.0,0.0,0,13.18384,12.6113,9.61941,6.7075,8497.14,0,0.06,0
distributed_q25_5block,crop_top_left_50,25.0,25,5.0,5,2.5,2.5,0.484375,0.0,0.0,0,13.18384,12.6113,9.013402,5.8371,3715.9,0,0.18,0
distributed_q25_5block,jpeg_q20,25.0,25,5.0,5,2.5,2.5,0.9725,0.90625,0.44,0,13.18384,12.6113,15.92512,15.3437,20921.26,19301,0.0,0
distributed_q25_5block,jpeg_q30,25.0,25,5.0,5,2.5,2.5,0.995,0.96875,0.84,0,13.18384,12.6113,15.721364000000001,15.2362,19976.74,18430,0.0,0
distributed_q25_5block,none,25.0,25,5.0,5,2.5,2.5,0.976875,0.90625,0.52,0,13.18384,12.6113,13.18384,12.6113,17938.26,17617,0.0,0
distributed_q25_5block,remove_center_40,25.0,25,5.0,5,2.5,2.5,0.993125,0.9375,0.8,0,13.18384,12.6113,14.34928,13.7147,13257.94,12958,0.0,0
distributed_q25_5block,resize_0.25_jpeg_q50,25.0,25,5.0,5,2.5,2.5,0.89875,0.78125,0.0,0,13.18384,12.6113,17.096566,15.7783,20529.3,19186,0.0,0
distributed_q25_9block,black_center_40,25.0,25,9.0,9,2.5,2.5,1.0,1.0,1.0,1,13.181864000000001,12.5273,8.444507999999999,6.1544,36543.2,15576,0.0,0
distributed_q25_9block,crop_bottom_right_50,25.0,25,9.0,9,2.5,2.5,0.50875,0.0,0.0,0,13.181864000000001,12.5273,9.023946,4.9542,4742.98,0,0.14,0
distributed_q25_9block,crop_center_50,25.0,25,9.0,9,2.5,2.5,0.5225,0.0,0.0,0,13.181864000000001,12.5273,10.182074,6.8695,4401.16,0,0.12,0
distributed_q25_9block,crop_top_left_50,25.0,25,9.0,9,2.5,2.5,0.51,0.0,0.0,0,13.181864000000001,12.5273,9.0086,5.8957,5675.16,0,0.14,0
distributed_q25_9block,jpeg_q20,25.0,25,9.0,9,2.5,2.5,0.951875,0.84375,0.24,0,13.181864000000001,12.5273,15.957863999999999,15.4559,24860.36,21469,0.0,0
distributed_q25_9block,jpeg_q30,25.0,25,9.0,9,2.5,2.5,0.98875,0.9375,0.72,0,13.181864000000001,12.5273,15.761368,15.2958,23761.58,20599,0.0,0
distributed_q25_9block,none,25.0,25,9.0,9,2.5,2.5,0.945,0.875,0.04,0,13.181864000000001,12.5273,13.181864000000001,12.5273,18251.1,17782,0.0,0
distributed_q25_9block,remove_center_40,25.0,25,9.0,9,2.5,2.5,0.9975,0.9375,0.96,0,13.181864000000001,12.5273,13.698086,13.0126,15999.46,15535,0.0,0
distributed_q25_9block,resize_0.25_jpeg_q50,25.0,25,9.0,9,2.5,2.5,0.885625,0.78125,0.02,0,13.181864000000001,12.5273,17.083092,15.7266,23317.18,20162,0.0,0
distributed_q30_5block,black_center_40,30.0,30,5.0,5,2.5,2.5,0.99625,0.9375,0.92,0,12.36642,11.805,8.423202,6.1288,35526.26,15061,0.0,0
distributed_q30_5block,crop_bottom_right_50,30.0,30,5.0,5,2.5,2.5,0.51875,0.0,0.0,0,12.36642,11.805,8.833103999999999,4.878,5597.52,0,0.12,0
distributed_q30_5block,crop_center_50,30.0,30,5.0,5,2.5,2.5,0.556875,0.0,0.0,0,12.36642,11.805,9.466166,6.6951,10493.88,0,0.06,0
distributed_q30_5block,crop_top_left_50,30.0,30,5.0,5,2.5,2.5,0.48625,0.0,0.0,0,12.36642,11.805,8.795234,5.7707,4456.48,0,0.18,0
distributed_q30_5block,jpeg_q20,30.0,30,5.0,5,2.5,2.5,0.991875,0.9375,0.76,0,12.36642,11.805,15.129712,14.6506,21658.64,20531,0.0,0
distributed_q30_5block,jpeg_q30,30.0,30,5.0,5,2.5,2.5,0.99875,0.96875,0.96,0,12.36642,11.805,14.944956,14.545,21457.18,20527,0.0,0
distributed_q30_5block,none,30.0,30,5.0,5,2.5,2.5,0.985,0.9375,0.64,0,12.36642,11.805,12.36642,11.805,20373.28,20003,0.0,0
distributed_q30_5block,remove_center_40,30.0,30,5.0,5,2.5,2.5,0.991875,0.9375,0.84,0,12.36642,11.805,13.628528000000001,13.009,15027.72,14775,0.0,0
distributed_q30_5block,resize_0.25_jpeg_q50,30.0,30,5.0,5,2.5,2.5,0.898125,0.8125,0.0,0,12.36642,11.805,16.469318,15.3819,22114.62,20767,0.0,0
distributed_q30_9block,black_center_40,30.0,30,9.0,9,2.5,2.5,0.998125,0.96875,0.94,0,12.39735,11.7698,8.18551,6.0045,40330.66,18058,0.0,0
distributed_q30_9block,crop_bottom_right_50,30.0,30,9.0,9,2.5,2.5,0.5425,0.0,0.0,0,12.39735,11.7698,8.810668,4.9082,8454.44,0,0.08,0
distributed_q30_9block,crop_center_50,30.0,30,9.0,9,2.5,2.5,0.533125,0.0,0.0,0,12.39735,11.7698,10.049536,6.8239,5530.96,0,0.1,0
distributed_q30_9block,crop_top_left_50,30.0,30,9.0,9,2.5,2.5,0.535625,0.0,0.0,0,12.39735,11.7698,8.799288,5.8417,8777.28,0,0.1,0
distributed_q30_9block,jpeg_q20,30.0,30,9.0,9,2.5,2.5,0.979375,0.90625,0.58,0,12.39735,11.7698,15.203838000000001,14.72,25435.14,23513,0.0,0
distributed_q30_9block,jpeg_q30,30.0,30,9.0,9,2.5,2.5,0.995,0.9375,0.88,0,12.39735,11.7698,15.000064,14.6055,24549.5,22811,0.0,0
distributed_q30_9block,none,30.0,30,9.0,9,2.5,2.5,0.958125,0.875,0.3,0,12.39735,11.7698,12.39735,11.7698,21547.8,20978,0.0,0
distributed_q30_9block,remove_center_40,30.0,30,9.0,9,2.5,2.5,0.99375,0.9375,0.88,0,12.39735,11.7698,12.914646,12.2547,18346.08,17810,0.0,0
distributed_q30_9block,resize_0.25_jpeg_q50,30.0,30,9.0,9,2.5,2.5,0.900625,0.8125,0.02,0,12.39735,11.7698,16.480188000000002,15.3032,25344.44,22883,0.0,0
distributed_q50_5block,black_center_40,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.171745999999999,9.5968,7.842838,5.7802,35813.18,22768,0.0,0
distributed_q50_5block,crop_bottom_right_50,50.0,50,5.0,5,2.5,2.5,0.5275,0.0,0.0,0,10.171745999999999,9.5968,8.114640000000001,4.9161,13508.08,0,0.1,0
distributed_q50_5block,crop_center_50,50.0,50,5.0,5,2.5,2.5,0.566875,0.0,0.0,0,10.171745999999999,9.5968,8.481770000000001,6.4858,19506.42,0,0.04,0
distributed_q50_5block,crop_top_left_50,50.0,50,5.0,5,2.5,2.5,0.55625,0.0,0.0,0,10.171745999999999,9.5968,8.112373999999999,6.1127,13302.54,0,0.06,0
distributed_q50_5block,jpeg_q20,50.0,50,5.0,5,2.5,2.5,0.99625,0.9375,0.9,0,10.171745999999999,9.5968,13.131343999999999,12.8252,36431.2,34524,0.0,0
distributed_q50_5block,jpeg_q30,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.171745999999999,9.5968,12.907611999999999,12.6567,35494.92,34407,0.0,0
distributed_q50_5block,none,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.171745999999999,9.5968,10.171745999999999,9.5968,34144.62,33767,0.0,0
distributed_q50_5block,remove_center_40,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.171745999999999,9.5968,11.994641999999999,11.3742,21992.44,21664,0.0,0
distributed_q50_5block,resize_0.25_jpeg_q50,50.0,50,5.0,5,2.5,2.5,0.90375,0.875,0.0,0,10.171745999999999,9.5968,14.727032,14.0619,36908.64,34810,0.0,0
distributed_q50_9block,black_center_40,50.0,50,9.0,9,2.5,2.5,1.0,1.0,1.0,1,10.20818,9.6213,7.57867,5.6288,48872.06,25950,0.0,0
distributed_q50_9block,crop_bottom_right_50,50.0,50,9.0,9,2.5,2.5,0.470625,0.0,0.0,0,10.20818,9.6213,8.10347,4.8503,7406.36,0,0.2,0
distributed_q50_9block,crop_center_50,50.0,50,9.0,9,2.5,2.5,0.555625,0.0,0.0,0,10.20818,9.6213,9.542944,6.7014,9021.66,0,0.06,0
distributed_q50_9block,crop_top_left_50,50.0,50,9.0,9,2.5,2.5,0.423125,0.0,0.0,0,10.20818,9.6213,8.100413999999999,5.7969,4304.66,0,0.28,0
distributed_q50_9block,jpeg_q20,50.0,50,9.0,9,2.5,2.5,0.996875,0.96875,0.9,0,10.20818,9.6213,13.114911999999999,12.8311,36976.28,35581,0.0,0
distributed_q50_9block,jpeg_q30,50.0,50,9.0,9,2.5,2.5,1.0,1.0,1.0,1,10.20818,9.6213,12.878879999999999,12.6414,35995.82,34899,0.0,0
distributed_q50_9block,none,50.0,50,9.0,9,2.5,2.5,0.99875,0.9375,0.98,0,10.20818,9.6213,10.20818,9.6213,34897.48,34093,0.0,0
distributed_q50_9block,remove_center_40,50.0,50,9.0,9,2.5,2.5,0.9975,0.9375,0.94,0,10.20818,9.6213,11.358078,10.7142,25902.2,25388,0.0,0
distributed_q50_9block,resize_0.25_jpeg_q50,50.0,50,9.0,9,2.5,2.5,0.9025,0.875,0.0,0,10.20818,9.6213,14.740920000000001,14.0444,37083.8,35724,0.0,0
single_center_50pct,black_center_40,50.0,50,1.0,1,2.5,2.5,0.98375,0.9375,0.5,0,10.074924,9.5771,9.228250000000001,6.5873,34978.42,34454,0.0,0
single_center_50pct,crop_bottom_right_50,50.0,50,1.0,1,2.5,2.5,0.59125,0.5625,0.0,0,10.074924,9.5771,8.20568,5.6413,18272.14,1019,0.0,0
single_center_50pct,crop_center_50,50.0,50,1.0,1,2.5,2.5,0.635625,0.625,0.0,0,10.074924,9.5771,6.83558,5.8072,65006.16,63048,0.0,0
single_center_50pct,crop_top_left_50,50.0,50,1.0,1,2.5,2.5,0.57375,0.0,0.0,0,10.074924,9.5771,8.340074,7.0722,21192.9,0,0.02,0
single_center_50pct,jpeg_q20,50.0,50,1.0,1,2.5,2.5,0.98625,0.96875,0.56,0,10.074924,9.5771,13.294061999999998,12.943,35982.54,35207,0.0,0
single_center_50pct,jpeg_q30,50.0,50,1.0,1,2.5,2.5,0.9975,0.96875,0.92,0,10.074924,9.5771,13.054012,12.7566,35105.54,34302,0.0,0
single_center_50pct,none,50.0,50,1.0,1,2.5,2.5,1.0,1.0,1.0,1,10.074924,9.5771,10.074924,9.5771,34654.34,34418,0.0,0
single_center_50pct,remove_center_40,50.0,50,1.0,1,2.5,2.5,0.969375,0.9375,0.14,0,10.074924,9.5771,16.923838,16.3665,9357.46,8801,0.0,0
single_center_50pct,resize_0.25_jpeg_q50,50.0,50,1.0,1,2.5,2.5,0.8825,0.8125,0.0,0,10.074924,9.5771,15.181056000000002,14.1638,36510.86,35787,0.0,0
